,Sample,Age,Sex,Tissue
523,E-GEOD-36194_GSM401543,16.0,male,cerebellum
524,E-GEOD-36194_GSM401559,48.0,male,cerebellum
525,E-GEOD-36194_GSM401650,22.0,male,cerebellum
526,E-GEOD-36194_GSM401592,95.0,female,cerebellum
527,E-GEOD-36194_GSM401565,43.0,male,cerebellum
528,E-GEOD-36194_GSM401624,88.0,male,cerebellum
531,E-GEOD-36194_GSM401566,39.0,female,cerebellum
532,E-GEOD-36194_GSM401590,20.0,male,cerebellum
533,E-GEOD-36194_GSM401550,33.0,female,cerebellum
534,E-GEOD-36194_GSM401623,92.0,female,cerebellum
535,E-GEOD-36194_GSM401573,35.0,male,cerebellum
536,E-GEOD-36194_GSM401572,67.0,male,cerebellum
537,E-GEOD-36194_GSM401577,96.0,female,cerebellum
539,E-GEOD-36194_GSM401600,42.0,male,cerebellum
542,E-GEOD-36194_GSM401594,85.0,male,cerebellum
544,E-GEOD-36194_GSM401593,45.0,male,cerebellum
545,E-GEOD-36194_GSM401602,37.0,male,cerebellum
546,E-GEOD-36194_GSM401561,39.0,female,cerebellum
548,E-GEOD-36194_GSM401608,27.0,male,cerebellum
550,E-GEOD-36194_GSM401648,20.0,male,cerebellum
556,E-GEOD-36194_GSM401569,61.0,male,cerebellum
557,E-GEOD-36194_GSM401656,33.0,male,cerebellum
558,E-GEOD-36194_GSM401546,25.0,female,cerebellum
560,E-GEOD-36194_GSM401583,86.0,male,cerebellum
565,E-GEOD-36194_GSM401647,47.0,female,cerebellum
567,E-GEOD-36194_GSM401636,31.0,male,cerebellum
569,E-GEOD-36194_GSM401605,48.0,male,cerebellum
570,E-GEOD-36194_GSM401614,28.0,male,cerebellum
571,E-GEOD-36194_GSM401606,16.0,male,cerebellum
573,E-GEOD-36194_GSM401618,85.0,female,cerebellum
574,E-GEOD-36194_GSM401589,42.0,female,cerebellum
575,E-GEOD-36194_GSM401619,92.0,male,cerebellum
576,E-GEOD-36194_GSM401639,17.0,male,cerebellum
577,E-GEOD-36194_GSM401591,54.0,male,cerebellum
578,E-GEOD-36194_GSM401626,75.0,male,cerebellum
579,E-GEOD-36194_GSM401567,57.0,male,cerebellum
580,E-GEOD-36194_GSM401651,53.0,female,cerebellum
582,E-GEOD-36194_GSM401617,48.0,male,cerebellum
583,E-GEOD-36194_GSM401599,17.0,male,cerebellum
584,E-GEOD-36194_GSM401613,20.0,male,cerebellum
585,E-GEOD-36194_GSM401596,48.0,male,cerebellum
586,E-GEOD-36194_GSM401655,19.0,female,cerebellum
587,E-GEOD-36194_GSM401538,20.0,male,cerebellum
588,E-GEOD-36194_GSM401625,96.0,male,cerebellum
589,E-GEOD-36194_GSM401633,47.0,male,cerebellum
590,E-GEOD-36194_GSM401630,20.0,male,cerebellum
592,E-GEOD-36194_GSM401548,48.0,male,cerebellum
593,E-GEOD-36194_GSM401635,33.0,male,cerebellum
594,E-GEOD-36194_GSM401558,31.0,male,cerebellum
596,E-GEOD-36194_GSM401628,86.0,male,cerebellum
598,E-GEOD-36194_GSM401644,27.0,female,cerebellum
599,E-GEOD-36194_GSM401547,57.0,male,cerebellum
601,E-GEOD-36194_GSM401588,32.0,male,cerebellum
602,E-GEOD-36194_GSM401637,66.0,male,cerebellum
603,E-GEOD-36194_GSM401580,83.0,male,cerebellum
604,E-GEOD-36194_GSM401556,58.0,male,cerebellum
605,E-GEOD-36194_GSM401585,79.0,male,cerebellum
606,E-GEOD-36194_GSM401654,48.0,female,cerebellum
607,E-GEOD-36194_GSM401545,47.0,female,cerebellum
608,E-GEOD-36194_GSM401575,49.0,female,cerebellum
610,E-GEOD-36194_GSM401609,23.0,male,cerebellum
611,E-GEOD-36194_GSM401544,57.0,male,cerebellum
612,E-GEOD-36194_GSM401571,31.0,female,cerebellum
613,E-GEOD-36194_GSM401632,28.0,male,cerebellum
614,E-GEOD-36194_GSM401540,68.0,male,cerebellum
615,E-GEOD-36194_GSM401595,19.0,male,cerebellum
617,E-GEOD-36194_GSM401653,43.0,male,cerebellum
618,E-GEOD-36194_GSM401621,89.0,male,cerebellum
619,E-GEOD-36194_GSM401616,53.0,male,cerebellum
620,E-GEOD-36194_GSM401627,18.0,male,cerebellum
622,E-GEOD-36194_GSM401542,66.0,male,cerebellum
623,E-GEOD-36194_GSM401604,20.0,female,cerebellum
624,E-GEOD-36194_GSM401603,26.0,male,cerebellum
625,E-GEOD-36194_GSM401607,55.0,male,cerebellum
627,E-GEOD-36194_GSM401554,16.0,female,cerebellum
628,E-GEOD-36194_GSM401539,44.0,male,cerebellum
629,E-GEOD-36194_GSM401553,33.0,female,cerebellum
632,E-GEOD-36194_GSM401586,93.0,female,cerebellum
634,E-GEOD-36194_GSM401612,32.0,female,cerebellum
635,E-GEOD-36194_GSM401560,24.0,male,cerebellum
636,E-GEOD-36194_GSM401581,92.0,female,cerebellum
637,E-GEOD-36194_GSM401640,46.0,male,cerebellum
638,E-GEOD-36194_GSM401634,47.0,female,cerebellum
640,E-GEOD-36194_GSM401576,40.0,male,cerebellum
642,E-GEOD-36194_GSM401579,84.0,male,cerebellum
643,E-GEOD-36194_GSM401631,41.0,male,cerebellum
644,E-GEOD-36194_GSM401598,16.0,male,cerebellum
645,E-GEOD-36194_GSM401549,48.0,male,cerebellum
648,E-GEOD-36194_GSM401652,20.0,female,cerebellum
649,E-GEOD-36194_GSM401552,23.0,male,cerebellum
651,E-GEOD-36194_GSM401574,34.0,male,cerebellum
653,E-GEOD-36194_GSM401587,43.0,female,cerebellum
655,E-GEOD-36194_GSM401562,20.0,male,cerebellum
656,E-GEOD-36194_GSM401584,82.0,male,cerebellum
657,E-GEOD-36194_GSM401646,40.0,female,cerebellum
658,E-GEOD-36194_GSM401641,42.0,male,cerebellum
659,E-GEOD-36194_GSM401564,49.0,female,cerebellum
661,E-GEOD-36194_GSM401568,18.0,male,cerebellum
