"SampleID","DNAmAge","Comment","noMissingPerSample","meanMethBySample","minMethBySample","maxMethBySample","corSampleVSgoldstandard","meanAbsDifferenceSampleVSgoldstandard","predictedGender","meanXchromosome"
"E.GEOD.36194_GSM884792",75.6841486388694,"",0,0.27854910253903,0,0.9955394,0.910172017148281,0.0847100285028413,"female",0.527679347533641
"E.GEOD.36194_GSM884702",24.1992422333977,"",0,0.276401535443467,0,0.9928241,0.890590849138473,0.0844836914657634,"male",0.346484329096774
"E.GEOD.36194_GSM884637",30.6556553557659,"",0,0.252347370052883,0,0.9928347,0.892123401027986,0.0875396428767816,"male",0.334169080451613
"E.GEOD.36194_GSM884821",73.1061209646044,"",0,0.275661015883939,0,0.9954098,0.88961082713772,0.0898093084530578,"male",0.356915570706912
"E.GEOD.36194_GSM884781",82.3843627528304,"",0,0.27470488717068,0,0.9962434,0.895023453465426,0.0916149777282549,"male",0.362571975693088
"E.GEOD.36194_GSM884770",50.04853083066,"",0,0.263025686891763,0,0.9975404,0.896865244387827,0.0881400760494204,"female",0.485391805803687
"E.GEOD.36194_GSM884730",34.0659823916036," Warning: meanMethBySample is <0.25",0,0.240820913712046,0,0.995101,0.858878487135774,0.0876353440656944,"male",0.321418106573272
"E.GEOD.36194_GSM884691",43.819956270549,"",0,0.260700306376526,0,0.9966567,0.900231309287455,0.0868130463510399,"male",0.342964080228571
"E.GEOD.36194_GSM884814",78.8343011978764,"",0,0.269933953968177,0,0.9941061,0.884848359769587,0.0914626924703901,"female",0.520687585368664
"E.GEOD.36194_GSM884612",7.08582626043957," Warning: meanMethBySample is <0.25",0,0.249625725872473,0,0.99542,0.908889840749237,0.0812381051419451,"male",0.327555990929032
"E.GEOD.36194_GSM884669",38.441762642334,"",0,0.261167991836016,0,0.992535,0.884590520020249,0.0887291113584188,"male",0.347577627261751
"E.GEOD.36194_GSM884642",17.5007270773683,"",0,0.255768217448053,0,0.9944788,0.916250954236011,0.078738582291693,"male",0.335777555189862
"E.GEOD.36194_GSM884768",55.7457447977529," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85.",0,0.236420924901774,0,0.9944849,0.849430960069382,0.089311593921022,"male",0.314673165234101
"E.GEOD.36194_GSM884675",84.6258685885502,"",0,0.271889685539077,0,0.9951504,0.900653624493897,0.0860000247321697,"male",0.354050535721659
"E.GEOD.36194_GSM884738",26.4984811101076,"",0,0.259677850143593,0,0.9944392,0.896270291713224,0.0880642530992062,"female",0.476466998509677
"E.GEOD.36194_GSM884644",15.9808860428966,"",0,0.25712485740687,0,0.9943193,0.899960710486032,0.087188503460408,"female",0.480137017894009
"E.GEOD.36194_GSM884841",11.3072273119289,"",0,0.267543015183124,0,0.993385,0.907315984451365,0.0802622103955711,"female",0.460723709741935
"E.GEOD.36194_GSM884618",24.203018236588,"",0,0.254527965556018,0,0.9949424,0.90029346555312,0.0804470555217459,"male",0.336813560081106
"E.GEOD.36194_GSM884680",48.0835120102407,"",0,0.263692460566033,0,0.9947573,0.898260964984204,0.087634356108888,"female",0.482338145707834
"E.GEOD.36194_GSM884735",25.669742419898,"",0,0.260678115791293,0,0.9961171,0.910264104263493,0.0834329715508895,"male",0.344535341125346
"E.GEOD.36194_GSM884801",68.8186171415119,"",0,0.268190124395872,0,0.9934209,0.885397823512138,0.0872321194165246,"male",0.360334652482949
"E.GEOD.36194_GSM884629",75.1277298247941,"",0,0.267865999806674,0,0.9918734,0.902166086292788,0.0718220826189887,"female",0.495055778009217
"E.GEOD.36194_GSM884609",35.282342905067," Warning: meanMethBySample is <0.25 Warning: Relatively low correlation between the methylation levels of this sample and the expected values: corSampleVSgoldstandard<0.85.",0,0.245839793785871,0,0.9948803,0.844024287422117,0.102122021858562,"female",0.500749017375115
"E.GEOD.36194_GSM884714",33.1219586586205,"",0,0.257173664643982,0,0.9958581,0.911483460615158,0.0818408940507604,"male",0.339560583866359
"E.GEOD.36194_GSM884695",44.9489790445386,"",0,0.262061774191642,0,0.9951745,0.90350390387674,0.0858184996875051,"male",0.345409562917051
"E.GEOD.36194_GSM884767",67.8139469410419,"",0,0.265216685270685,0,0.9955829,0.878555426724603,0.0895569029420247,"male",0.348819346395392
"E.GEOD.36194_GSM884723",81.7485272697013,"",0,0.266000874269585,0,0.994613,0.892484368437373,0.0904107930979774,"female",0.473102559549309
"E.GEOD.36194_GSM884825",13.6966662590285,"",0,0.270639555080307,0,0.9904889,0.877097866611414,0.0891386381201807,"male",0.358337065070968
"E.GEOD.36194_GSM884832",36.4494733118855,"",0,0.269541299431908,0,0.9942596,0.905359786927715,0.0800314469584494,"male",0.349677700403687
"E.GEOD.36194_GSM884628",77.2093977082469,"",0,0.271000072149616,0,0.9908578,0.892698241435116,0.0772411015572394,"female",0.512798596073733
"E.GEOD.36194_GSM884690",23.5832062783616,"",0,0.255276032609851,0,0.9960089,0.90672625572707,0.0840395387801609,"female",0.474430299186175
"E.GEOD.36194_GSM884813",72.4748620014736,"",0,0.271826766801479,0,0.9948223,0.887347224152992,0.0906888861467864,"female",0.537558473938249
"E.GEOD.36194_GSM884667",49.8535827823665,"",0,0.25516118740102,0,0.9911481,0.90109773999716,0.0809083058659475,"male",0.335450458610138
"E.GEOD.36194_GSM884670",29.9242667998805," Warning: meanMethBySample is <0.25",0,0.237488055645217,0,0.9910069,0.889648788431288,0.0801581927763384,"male",0.310487217974194
